á	a u
fíkniefna	f i k n i ɛ p n a
fíkniefnabrot	f i k n i p n a p r ɔ t
fíkniefnabrota	f i k n i p n a p r ɔ t a
fíkniefnabrots	f i k n i p n a p r ɔ t s
fíkniefnabrotum	f i k n i p n a p r ɔ t ʏ m
fíkniefnamál	f i k n i p n a m a u l
fíkniefnamála	f i k n i p n a m a u l a
fíkniefnamáli	f i k n i p n a m a u l ɪ
fíkniefnamáls	f i k n i p n a m a u l s
fíkniefnaneyslu	f i k n i p n a n e i s t l ʏ
fíkniefnasala	f i k n i p n a s a l a
fíkniefnasali	f i k n i p n a s a l ɪ
fíkniefni	f i k n i ɛ p n ɪ
fíkniefnum	f i k n i p n ʏ m
fíla	f i l a
fílabeinsströndin	f i l a p e i n s s t r œ n t ɪ n
fílabeinsströndinni	f i l a p e i n s s t r œ n t ɪ n ɪ
fílar	f i l a r
filip	f ɪ l ɪ p
filippa	f ɪ l ɪ h p a
filippía	f ɪ l ɪ h p i j a
filippseyingar	f ɪ l ɪ h p s e i i ŋ k a r
filippus	f ɪ l ɪ h p ʏ s
fíll	f i t l
fíllinn	f i t l ɪ n
fima	f ɪ m a
fimbulkuldi	f ɪ m p ʏ l kʰ ʏ l t ɪ
fimleikafólk	f ɪ m l e i k a f o u l̥ k
fimleikakonum	f ɪ m l e i k a kʰ ɔ n ʏ m
fimleikum	f ɪ m l e i k ʏ m
fimm	f ɪ m
fimmfaldast	f ɪ m f a l t a s t
fimmfaldur	f ɪ m f a l t ʏ r
fimmmenningarnir	f ɪ m̥ m ɛ n i ŋ k a r t n ɪ r
fimmta	f ɪ m̥ t a
fimmtán	f ɪ m̥ t a u n
fimmti	f ɪ m̥ t ɪ
fimmtíu	f ɪ m̥ tʰ i j ʏ
fimmtudag	f ɪ m̥ tʰ ʏ t a ɣ
fimmtudaga	f ɪ m̥ tʰ ʏ t a ɣ a
fimmtudagana	f ɪ m̥ tʰ ʏ t a ɣ a n a
fimmtudaganna	f ɪ m̥ tʰ ʏ t a ɣ a n a
fimmtudagar	f ɪ m̥ tʰ ʏ t a ɣ a r
fimmtudagarnir	f ɪ m̥ tʰ ʏ t a ɣ a r t n ɪ r
fimmtudaginn	f ɪ m̥ tʰ ʏ t a ɣ ɪ n
fimmtudags	f ɪ m̥ tʰ ʏ t a x s
fimmtudagsins	f ɪ m̥ tʰ ʏ t a x s ɪ n s
fimmtudagsmorguninn	f ɪ m̥ tʰ ʏ t a x s m ɔ r k ʏ n ɪ n
fimmtudagur	f ɪ m̥ tʰ ʏ t a ɣ ʏ r
fimmtudagurinn	f ɪ m̥ tʰ ʏ t a ɣ ʏ r ɪ n
fimmtudegi	f ɪ m̥ tʰ ʏ t e i j ɪ
fimmtudeginum	f ɪ m̥ tʰ ʏ t e i j ɪ n ʏ m
fimmtudögum	f ɪ m̥ tʰ ʏ t œ ɣ ʏ m
fimmtudögunum	f ɪ m̥ tʰ ʏ t œ ɣ ʏ n ʏ m
fimmtugsaldri	f ɪ m̥ tʰ ʏ x s a l t r ɪ
fimmtugur	f ɪ m̥ tʰ ʏ ɣ ʏ r
fimmtung	f ɪ m̥ tʰ u ŋ k
fimmtungi	f ɪ m̥ tʰ u ŋ k ɪ
fimmtungur	f ɪ m̥ tʰ u ŋ k ʏ r
fimmþúsund	f ɪ m θ u s ʏ n t
fín	f i n
fína	f i n a
fínan	f i n a n
fingraför	f i ŋ k r a f œ r
fingrinum	f i ŋ k r ɪ n ʏ m
fingrum	f i ŋ k r ʏ m
fingur	f i ŋ k ʏ r
fingurnir	f i ŋ k ʏ r t n ɪ r
fínir	f i n ɪ r
fínkemba	f i n cʰ ɛ m p a
fínkorna	f i n kʰ ɔ r t n a
finn	f ɪ n
fínn	f i t n
finna	f ɪ n a
finnast	f ɪ n a s t
finnastöðum	f ɪ n a s t œ ð ʏ m
finnbjörk	f ɪ n p j œ r̥ k
finnbjörn	f ɪ n p j œ r t n
finnbogastaðaskóla	f ɪ n p ɔ ɣ a s t a ð a s k o u l a
finnbogastöðum	f ɪ n p ɔ ɣ a s t œ ð ʏ m
finnborg	f ɪ n p ɔ r k
finndal	f ɪ n t a l
finndís	f ɪ n t i s
finney	f ɪ n e i
finngeir	f ɪ n k e i r
finni	f ɪ n ɪ
finnjón	f ɪ n j o u n
finnland	f ɪ n l a n t
finnlaug	f ɪ n l ø y ɣ
finnlaugur	f ɪ n l ø y ɣ ʏ r
finnrós	f ɪ n r o u s
finnsbúð	f ɪ n s p u ð
finnskan	f ɪ n s k a n
finnskir	f ɪ n s k ɪ r
finnskri	f ɪ n s k r ɪ
finnsku	f ɪ n s k ʏ
finnskum	f ɪ n s k ʏ m
finnskur	f ɪ n s k ʏ r
finnst	f ɪ n s t
finnstungu	f ɪ n s t u ŋ k ʏ
finnum	f ɪ n ʏ m
finnur	f ɪ n ʏ r
finnvarður	f ɪ n v a r ð ʏ r
fínt	f i n t
fínu	f i n ʏ
firði	f ɪ r ð ɪ
firðinum	f ɪ r ð ɪ n ʏ m
fischersundi	f ɪ s c ɛ r̥ s ʏ n t ɪ
fisk	f ɪ s k
fiska	f ɪ s k a
fiskafla	f ɪ s k a p l a
fiskafli	f ɪ s k a p l ɪ
fiskakvísl	f ɪ s k a kʰ v i s t l
fiski	f ɪ s k ɪ
fiskibáti	f ɪ s k ɪ p a u t ɪ
fiskibátunum	f ɪ s k ɪ p a u t ʏ n ʏ m
fiskikör	f ɪ s k ɪ kʰ œ r
fiskimjölið	f ɪ s k ɪ m j œ l ɪ ð
fiskinesi	f ɪ s k ɪ n ɛ s ɪ
fiskinn	f ɪ s k ɪ n
fiskiskip	f ɪ s k ɪ s k ɪ p
fiskislóð	f ɪ s k ɪ s t l o u ð
fiskistofa	f ɪ s k ɪ s t ɔ v a
fiskistofu	f ɪ s k ɪ s t ɔ v ʏ
fiskitanga	f ɪ s k ɪ tʰ a u ŋ k a
fiskmarkaðir	f ɪ s k m a r̥ k a ð ɪ r
fiskpinna	f ɪ s k pʰ ɪ n a
fisksjúkdómum	f ɪ s k s j u k t o u m ʏ m
fisksölusamninga	f ɪ s k s œ l ʏ s a m n i ŋ k a
fiskur	f ɪ s k ʏ r
fiskurinn	f ɪ s k ʏ r ɪ n
fiskútflytjendur	f ɪ s k u t f l ɪ t j ɛ n t ʏ r
fiskveiða	f ɪ s k v e i ð a
fiskveiðar	f ɪ s k v e i ð a r
fiskveiðiár	f ɪ s k v e i ð ɪ a u r
fiskveiðistjórn	f ɪ s k v e i ð ɪ s t j o u r t n
fiskveiðistjórnun	f ɪ s k v e i ð ɪ s t j o u r t n ʏ n
fiskveiðistjórnunarkerfi	f ɪ s k v e i ð ɪ s t j o u r t n ʏ n a r cʰ ɛ r v ɪ
fiskvinnslu	f ɪ s k v ɪ n s t l ʏ
fiskvinnsluna	f ɪ s k v ɪ n s t l ʏ n a
fit	f ɪ t
fitjaási	f ɪ t j a a u s ɪ
fitjakoti	f ɪ t j a kʰ ɔ t ɪ
fitjamýri	f ɪ t j a m i r ɪ
fitjasmára	f ɪ t j a s m a u r a
fitjateigi	f ɪ t j a tʰ e i j ɪ
fitjum	f ɪ t j ʏ m
fjalir	f j a l ɪ r
fjalla	f j a t l a
fjallabaksleið	f j a t l a p a k s t l e i ð
fjallabúum	f j a t l a p u ʏ m
fjallabyggð	f j a t l a p ɪ ɣ ð
fjallað	f j a t l a ð
fjallageitar	f j a t l a k e i t a r
fjallakór	f j a t l a k o u r
fjallalækjarseli	f j a t l a l a i c a r̥ s ɛ l ɪ
fjallaleiðsögumenn	f j a t l a l e i ð s œ ɣ ʏ m ɛ n
fjallalind	f j a t l a l ɪ n t
fjallamenn	f j a t l a m ɛ n
fjallar	f j a t l a r
fjalldís	f j a t l t i s
fjallgöngumaður	f j a t l̥ k ø y ŋ k ʏ m a ð ʏ r
fjallgöngumanni	f j a t l̥ k ø y ŋ k ʏ m a n ɪ
fjallgöngumönnum	f j a t l̥ k ø y ŋ k ʏ m œ n ʏ m
fjalli	f j a t l ɪ
fjallið	f j a t l ɪ ð
fjallinu	f j a t l ɪ n ʏ
fjallkofanum	f j a t l̥ kʰ ɔ v a n ʏ m
fjallkonuveg	f j a t l̥ kʰ ɔ n ʏ v ɛ ɣ
fjallkonuvegi	f j a t l̥ kʰ ɔ n ʏ v e i j ɪ
fjallsgerði	f j a t l̥ s c ɛ r ð ɪ
fjallshlíð	f j a t l̥ s l̥ i ð
fjallstindinum	f j a t l s t ɪ n t ɪ n ʏ m
fjallvegum	f j a t l v ɛ ɣ ʏ m
fjara	f j a r a
fjarar	f j a r a r
fjáraukalög	f j a u r ø y k a l œ ɣ
fjarðarási	f j a r ð a r a u s ɪ
fjarðargötu	f j a r ð a r k œ t ʏ
fjarðarheiði	f j a r ð a r h e i ð ɪ
fjarðarhorni	f j a r ð a r h ɔ r t n ɪ
fjarðarseli	f j a r ð a r s ɛ l ɪ
fjarðarstræti	f j a r ð a r s t r a i t ɪ
fjarðarvegi	f j a r ð a r v e i j ɪ
fjárdrátt	f j a u r t r a u h t
fjárfest	f j a u r̥ f ɛ s t
fjárfesta	f j a u r̥ f ɛ s t a
fjárfestar	f j a u r̥ f ɛ s t a r
fjárfesting	f j a u r̥ f ɛ s t i ŋ k
fjárfestingar	f j a u r̥ f ɛ s t i ŋ k a r
fjárfestingarbanka	f j a u r̥ f ɛ s t i ŋ k a r p a ŋ̊ k a
fjárfestingarbanki	f j a u r̥ f ɛ s t i ŋ k a r p a u ɲ̊ c ɪ
fjárfestingu	f j a u r̥ f ɛ s t i ŋ k ʏ
fjárfestir	f j a u r̥ f ɛ s t ɪ r
fjárfestum	f j a u r̥ f ɛ s t ʏ m
fjárglæframaður	f j a u r k l a i v r a m a ð ʏ r
fjárhæð	f j a u r h a i ð
fjárhæðir	f j a u r h a i ð ɪ r
fjárhættuspil	f j a u r h a i h t ʏ s p ɪ l
fjárhag	f j a u r h a ɣ
fjárhaginn	f j a u r h a j ɪ n
fjárhagsáætlun	f j a u r h a x s a u a i h t l ʏ n
fjárhagsáætlunar	f j a u r h a x s a u a i h t l ʏ n a r
fjárhagsaðstoð	f j a u r h a x s a ð s t ɔ ð
fjárhagsáhyggjur	f j a u r h a x s a u h ɪ c ʏ r
fjárhagsári	f j a u r h a x s a u r ɪ
fjárhagserfiðleika	f j a u r h a x s ɛ r v ɪ ð l e i k a
fjárhagslega	f j a u r h a x s l ɛ ɣ a
fjárhagslegri	f j a u r h a x s l ɛ ɣ r ɪ
fjárhagslegt	f j a u r h a x s l ɛ ɣ t
fjárhagsvanda	f j a u r h a x s v a n t a
fjárhagsvandræðum	f j a u r h a x s v a n t r a i ð ʏ m
fjárhirðirinn	f j a u r h ɪ r ð ɪ r ɪ n
fjárhúsi	f j a u r h u s ɪ
fjárhúsum	f j a u r h u s ʏ m
fjárkröfur	f j a u r kʰ r œ v ʏ r
fjárkúgun	f j a u r̥ k u ʏ n
fjarlægasta	f j a r t l a i ɣ a s t a
fjarlægð	f j a r t l a i ɣ ð
fjarlægðar	f j a r t l a i ɣ ð a r
fjarlægðu	f j a r t l a i ɣ ð ʏ
fjarlægi	f j a r t l a i j ɪ
fjarlægist	f j a r t l a i j ɪ s t
fjarlægja	f j a r t l a i j a
fjarlægt	f j a r t l a i ɣ t
fjárlagafrumvarpi	f j a u r t l a ɣ a f r ʏ m v a r̥ p ɪ
fjárlagahallann	f j a u r t l a ɣ a h a t l a n
fjárlagahallinn	f j a u r t l a ɣ a h a t l ɪ n
fjárlaganefndar	f j a u r t l a ɣ a n ɛ m t a r
fjárlaganna	f j a u r t l a ɣ a n a
fjárlög	f j a u r t l œ ɣ
fjárlögin	f j a u r t l œ j ɪ n
fjárlögum	f j a u r t l œ ɣ ʏ m
fjármagna	f j a u r m a k n a
fjármagnstekjur	f j a u r m a k n s t ɛ c ʏ r
fjármagnstekjuskatts	f j a u r m a k n s t ɛ c ʏ s k a h t s
fjármagnstekna	f j a u r m a k n s t ɛ h k n a
fjármál	f j a u r m a u l
fjármálaeftirlitsins	f j a u r m a u l a ɛ f t ɪ r l ɪ t s ɪ n s
fjármálafyrirtæki	f j a u r m a u l a f ɪ r ɪ r tʰ a i c ɪ
fjármálafyrirtækja	f j a u r m a u l a f ɪ r ɪ r tʰ a i c a
fjármálakerfi	f j a u r m a u l a cʰ ɛ r v ɪ
fjármálakerfið	f j a u r m a u l a cʰ ɛ r v ɪ ð
fjármálakreppu	f j a u r m a u l a k r ɛ h p ʏ
fjármálamörkuðum	f j a u r m a u l a m œ r̥ k ʏ ð ʏ m
fjármálaráðherra	f j a u r m a u l a r a u ð h ɛ r a
fjármálaráðherrar	f j a u r m a u l a r a u ð h ɛ r a r
fjármálaráðuneytið	f j a u r m a u l a r a u ð ʏ n e i t ɪ ð
fjármálaráðuneytinu	f j a u r m a u l a r a u ð ʏ n e i t ɪ n ʏ
fjármálaráðuneytis	f j a u r m a u l a r a u ð ʏ n e i t ɪ s
fjármálaráðuneytisins	f j a u r m a u l a r a u ð ʏ n e i t ɪ s ɪ n s
fjármálastjóra	f j a u r m a u l a s t j o u r a
fjármálastjóri	f j a u r m a u l a s t j o u r ɪ
fjármálastofnana	f j a u r m a u l a s t ɔ p n a n a
fjármálin	f j a u r m a u l ɪ n
fjármögnun	f j a u r m œ k n ʏ n
fjármögnunarfyrirtækjum	f j a u r m œ k n ʏ n a r f ɪ r ɪ r tʰ a i c ʏ m
fjármuni	f j a u r m ʏ n ɪ
fjármunir	f j a u r m ʏ n ɪ r
fjármunum	f j a u r m ʏ n ʏ m
fjárnám	f j a u r t n a u m
fjáröflun	f j a u r œ f l ʏ n
fjárréttir	f j a u r r j ɛ h t ɪ r
fjarri	f j a r r ɪ
fjársjóður	f j a u r̥ s j o u ð ʏ r
fjarska	f j a r̥ s k a
fjarskiptakerfið	f j a r̥ s k ɪ f t a cʰ ɛ r v ɪ ð
fjarskiptaþjónustu	f j a r̥ s k ɪ f t a θ j o u n ʏ s t ʏ
fjarskipti	f j a r̥ s k ɪ f t ɪ
fjarskiptum	f j a r̥ s k ɪ f t ʏ m
fjárskortur	f j a u r̥ s k ɔ r̥ t ʏ r
fjársterkum	f j a u r̥ s t ɛ r̥ k ʏ m
fjárstuðning	f j a u r̥ s t ʏ ð n i ŋ k
fjársvik	f j a u r̥ s v ɪ k
fjársvikamál	f j a u r̥ s v ɪ k a m a u l
fjársvikamáli	f j a u r̥ s v ɪ k a m a u l ɪ
fjársvikara	f j a u r̥ s v ɪ k a r a
fjársvikarar	f j a u r̥ s v ɪ k a r a r
fjárútláta	f j a u r u t l a u t a
fjárveitingar	f j a u r v e i t i ŋ k a r
fjarveru	f j a r v ɛ r ʏ
fjögra	f j œ ɣ r a
fjögur	f j œ ɣ ʏ r
fjögurra	f j œ ɣ ʏ r a
fjögurþúsund	f j œ ɣ ʏ r̥ θ u s ʏ n t
fjóla	f j o u l a
fjölbrautaskóla	f j œ l p r ø y t a s k o u l a
fjölbreytileg	f j œ l p r e i t ɪ l ɛ ɣ
fjölbreytni	f j œ l p r e i h t n ɪ
fjölbreytt	f j œ l p r e i h t
fjölbýli	f j œ l p i l ɪ
fjölbýlishús	f j œ l p i l ɪ s h u s
fjölda	f j œ l t a
fjöldaflótta	f j œ l t a p l o u h t a
fjöldagrafir	f j œ l t a k r a v ɪ r
fjöldagröf	f j œ l t a k r œ v
fjöldahátíð	f j œ l t a h a u tʰ i ð
fjöldamorð	f j œ l t a m ɔ r ð
fjöldamorðingjar	f j œ l t a m ɔ r ð i ŋ c a r
fjöldamorðum	f j œ l t a m ɔ r ð ʏ m
fjöldamótmæli	f j œ l t a m o u t m a i l ɪ
fjöldans	f j œ l t a n s
fjöldauppsagnir	f j œ l t ø y h p s a k n ɪ r
fjöldi	f j œ l t ɪ
fjöldinn	f j œ l t ɪ n
fjölga	f j œ l k a
fjölgað	f j œ l k a ð
fjölgaði	f j œ l k a ð ɪ
fjölgandi	f j œ l k a n t ɪ
fjölgar	f j œ l k a r
fjölgi	f j œ l c ɪ
fjölgun	f j œ l k ʏ n
fjölhæfur	f j œ l h a i v ʏ r
fjölkvæni	f j œ l kʰ v a i n ɪ
fjöll	f j œ t l
fjöllin	f j œ l l ɪ n
fjöllum	f j œ t l ʏ m
fjöllunum	f j œ t l ʏ n ʏ m
fjölmargar	f j œ l m a r k a r
fjölmargir	f j œ l m a r c ɪ r
fjölmargra	f j œ l m a r k r a
fjölmenn	f j œ l m ɛ n
fjölmenna	f j œ l m ɛ n a
fjölmennasta	f j œ l m ɛ n a s t a
fjölmenni	f j œ l m ɛ n ɪ
fjölmennt	f j œ l m ɛ n̥ t
fjölmiðla	f j œ l m ɪ ð l a
fjölmiðlafulltrúar	f j œ l m ɪ ð l a f ʏ t l̥ tʰ r u a r
fjölmiðlar	f j œ l m ɪ ð l a r
fjölmiðlum	f j œ l m ɪ ð l ʏ m
fjölmörg	f j œ l m œ r k
fjölnisgötu	f j œ l n ɪ s k œ t ʏ
fjölnismenn	f j œ l n ɪ s m ɛ n
fjölnisvegi	f j œ l n ɪ s v e i j ɪ
fjölnota	f j œ l n ɔ t a
fjölskipaður	f j œ l s c ɪ p a ð ʏ r
fjölskylda	f j œ l s c ɪ l t a
fjölskyldan	f j œ l s c ɪ l t a n
fjölskyldu	f j œ l s c ɪ l t ʏ
fjölskylduhátíð	f j œ l s c ɪ l t ʏ h a u tʰ i ð
fjölskylduhátíðum	f j œ l s c ɪ l t ʏ h a u tʰ i ð ʏ m
fjölskylduhús	f j œ l s c ɪ l t ʏ h u s
fjölskylduna	f j œ l s c ɪ l t ʏ n a
fjölskyldunnar	f j œ l s c ɪ l t ʏ n a r
fjölskyldunni	f j œ l s c ɪ l t ʏ n ɪ
fjölskyldur	f j œ l s c ɪ l t ʏ r
fjölskyldurnar	f j œ l s c ɪ l t ʏ r t n a r
fjölskyldutekjur	f j œ l s c ɪ l t ʏ tʰ ɛ c ʏ r
fjóluási	f j o u l ʏ a u s ɪ
fjólublá	f j o u l ʏ p l a u
fjólubláan	f j o u l ʏ p l a u a n
fjólubláir	f j o u l ʏ p l a u ɪ r
fjólubláu	f j o u l ʏ p l a u ʏ
fjólubláum	f j o u l ʏ p l a u ʏ m
fjólugötu	f j o u l ʏ k œ t ʏ
fjóluhvammi	f j o u l ʏ xʷ a m ɪ
fjólukletti	f j o u l ʏ kʰ l ɛ h t ɪ
fjóluvöllum	f j o u l ʏ v œ t l ʏ m
fjölvar	f j œ l v a r
fjör	f j œ r
fjóra	f j o u r a
fjórar	f j o u r a r
fjórða	f j o u r ð a
fjórði	f j o u r ð ɪ
fjórðu	f j o u r ð ʏ
fjórðungur	f j o u r ð u ŋ k ʏ r
fjörðurinn	f j œ r ð ʏ r ɪ n
fjöregg	f j œ r ɛ k
fjórfaldur	f j o u r̥ f a l t ʏ r
fjórhjóli	f j o u r h j o u l ɪ
fjórir	f j o u r ɪ r
fjörlega	f j œ r l ɛ ɣ a
fjórmenningarnir	f j o u r m ɛ n i ŋ k a r t n ɪ r
fjórmenningunum	f j o u r m ɛ n i ŋ k ʏ n ʏ m
fjörmiklir	f j œ r m ɪ kʰ l ɪ r
fjörnir	f j œ r t n ɪ r
fjórtán	f j o u r̥ t a u n
fjórtánda	f j o u r̥ t a u n t a
fjöru	f j œ r ʏ
fjörubraut	f j œ r ʏ p r ø y t
fjörugar	f j œ r ʏ ɣ a r
fjörugum	f j œ r ʏ k ʏ m
fjörugur	f j œ r ʏ ɣ ʏ r
fjörukaffi	f j œ r ʏ kʰ a f ɪ
fjórum	f j o u r ʏ m
fjörutíu	f j œ r ʏ tʰ i j ʏ
fjós	f j o u s
fjósatungu	f j o u s a tʰ u ŋ k ʏ
fjóshaugurinn	f j o u s h ø y ɣ ʏ r ɪ n
fjósi	f j o u s ɪ
fjúka	f j u k a
flæðavegi	f l a i ð a v e i j ɪ
flæddi	f l a i t ɪ
flæðigerði	f l a i ð ɪ c ɛ r ð ɪ
flæðir	f l a i ð ɪ r
flækta	f l a i x t a
flæktist	f l a i x t ɪ s t
flæktust	f l a i x t ʏ s t
flæmskra	f l a i m s k r a
flagbjarnarholti	f l a ɣ p j a r t n a r h ɔ l̥ t ɪ
flak	f l a k
flakinu	f l a k ɪ n ʏ
flakk	f l a h k
flakkarinn	f l a h k a r ɪ n
flamingóar	f l a m i ŋ k o u a r
flankastöðum	f l a ŋ̊ k a s t œ ð ʏ m
flatahrauni	f l a tʰ a r̥ ø y n ɪ
flataseli	f l a tʰ a s ɛ l ɪ
flatasíðu	f l a tʰ a s i ð ʏ
flatatungu	f l a tʰ a tʰ u ŋ k ʏ
flatböku	f l a t p œ k ʏ
flatey	f l a tʰ e i
flateyjardal	f l a tʰ e i j a r t a l
flatmaga	f l a tʰ m a ɣ a
flatskjá	f l a t s c a u
flaug	f l ø y ɣ
flautað	f l ø y t a ð
flegnasti	f l ɛ k n a s t ɪ
fleira	f l e i r a
fleiri	f l e i r ɪ
fleirum	f l e i r̥ ʏ m
fleka	f l ɛ k a
flekar	f l ɛ k a r
flekkóttur	f l ɛ h k o u h t ʏ r
flekkudal	f l ɛ h k ʏ t a l
flekum	f l ɛ k ʏ m
flengja	f l e i ɲ c a
flensborgarskóla	f l ɛ n s p ɔ r k a r s k o u l a
flensu	f l ɛ n s ʏ
flesjakór	f l ɛ s j a k o u r
flesjustöðum	f l ɛ s j ʏ s t œ ð ʏ m
flest	f l ɛ s t
flesta	f l ɛ s t a
flestar	f l ɛ s t a r
flestir	f l ɛ s t ɪ r
flestra	f l ɛ s t r a
flestum	f l ɛ s t ʏ m
fletta	f l ɛ h t a
flétta	f l j ɛ h t a
fléttaði	f l j ɛ h t a ð ɪ
fléttuna	f l j ɛ h t ʏ n a
flétturima	f l j ɛ h t ʏ r ɪ m a
fléttuvöllum	f l j ɛ h t ʏ v œ t l ʏ m
fleygiferð	f l e i j ɪ f ɛ r ð
fleygja	f l e i j a
flibba	f l ɪ p a
flibbahnöppum	f l ɪ p a n̥ œ h p ʏ m
flíkur	f l i k ʏ r
flipp	f l ɪ h p
fljótandi	f l j o u t a n t ɪ
fljótari	f l j o u t a r ɪ
fljótið	f l j o u t ɪ ð
fljótlega	f l j o u t l ɛ ɣ a
fljótlegasta	f l j o u t l ɛ ɣ a s t a
fljótsbakka	f l j o u t s p a h k a
fljótsdal	f l j o u t s t a l
fljótsdalshéraði	f l j o u t s t a l s ç ɛ r a ð ɪ
fljótshlíð	f l j o u t s l̥ i ð
fljótshlíðinni	f l j o u t s l̥ i ð ɪ n ɪ
fljótsmörk	f l j o u t s m œ r̥ k
fljótstungu	f l j o u t s t u ŋ k ʏ
fljótt	f l j o u h t
fljótum	f l j o u t ʏ m
fljótur	f l j o u t ʏ r
fljúga	f l j u a
fljúgandi	f l j u a n t ɪ
flóahreppi	f l o u a r̥ ɛ h p ɪ
flóamarkaði	f l o u a m a r̥ k a ð ɪ
flóanum	f l o u a n ʏ m
flóð	f l o u ð
flóða	f l o u ð a
flóðanna	f l o u ð a n a
flóðasvæðin	f l o u ð a s v a i ð ɪ n
flóðasvæðum	f l o u ð a s v a i ð ʏ m
flóðbylgja	f l o u ð p ɪ l c a
flóðbylgjan	f l o u ð p ɪ l c a n
flóðbylgju	f l o u ð p ɪ l c ʏ
flóðbylgjuna	f l o u ð p ɪ l c ʏ n a
flóðbylgjunnar	f l o u ð p ɪ l c ʏ n a r
flóðbylgjunni	f l o u ð p ɪ l c ʏ n ɪ
flóðbylgna	f l o u ð p ɪ l n a
flóði	f l o u ð ɪ
flóðið	f l o u ð ɪ ð
flóðin	f l o u ð ɪ n
flóðinu	f l o u ð ɪ n ʏ
flóðljósum	f l o u ð l j o u s ʏ m
flóðum	f l o u ð ʏ m
flóðvangi	f l o u ð v a u ŋ c ɪ
flogaveikur	f l ɔ ɣ a v e i k ʏ r
flögguðu	f l œ k ʏ ð ʏ
flöggum	f l œ k ʏ m
flogið	f l ɔ j ɪ ð
flögu	f l œ ɣ ʏ
flögusíðu	f l œ ɣ ʏ s i ð ʏ
flókadal	f l o u k a t a l
flókagötu	f l o u k a k œ t ʏ
flókalundi	f l o u k a l ʏ n t ɪ
flókið	f l o u k ɪ ð
flókin	f l o u k ɪ n
flokk	f l ɔ h k
flokka	f l ɔ h k a
flokkakerfið	f l ɔ h k a cʰ ɛ r v ɪ ð
flokkar	f l ɔ h k a r
flokkarnir	f l ɔ h k a r t n ɪ r
flokkast	f l ɔ h k a s t
flokki	f l ɔ h c ɪ
flokknum	f l ɔ h k n ʏ m
flokks	f l ɔ h k s
flokksfélögum	f l ɔ h k s f j ɛ l œ ɣ ʏ m
flokksformönnum	f l ɔ h k s f ɔ r m œ n ʏ m
flokksins	f l ɔ h k s ɪ n s
flokksleiðtogi	f l ɔ h k s t l e i ð tʰ ɔ j ɪ
flokksleiðtogum	f l ɔ h k s t l e i ð tʰ ɔ ɣ ʏ m
flokkslína	f l ɔ h k s t l i n a
flokksmanna	f l ɔ h k s m a n a
flokksstjórn	f l ɔ h k s s t j o u r t n
flokksþinginu	f l ɔ h k s θ i ŋ c ɪ n ʏ
flokksþings	f l ɔ h k s θ i ŋ k s
flokkuðu	f l ɔ h k ʏ ð ʏ
flokkum	f l ɔ h k ʏ m
flokkunarstöðinni	f l ɔ h k ʏ n a r s t œ ð ɪ n ɪ
flokkur	f l ɔ h k ʏ r
flokkurinn	f l ɔ h k ʏ r ɪ n
flóknar	f l o u k n a r
flóknara	f l o u k n a r a
flórent	f l o u r ɛ n̥ t
flösku	f l œ s k ʏ
flöskuhálsa	f l œ s k ʏ h a u l s a
flöskum	f l œ s k ʏ m
flöskuna	f l œ s k ʏ n a
flöskunni	f l œ s k ʏ n ɪ
flöskurnar	f l œ s k ʏ r t n a r
flot	f l ɔ t
flöt	f l œ t
flotbryggju	f l ɔ t p r ɪ c ʏ
flott	f l ɔ h t
flótta	f l o u h t a
flóttafólk	f l o u h t a f o u l̥ k
flóttafólks	f l o u h t a f o u l̥ k s
flóttamaður	f l o u h t a m a ð ʏ r
flóttamanna	f l o u h t a m a n a
flóttamannabúðum	f l o u h t a m a n a p u ð ʏ m
flóttamönnum	f l o u h t a m œ n ʏ m
flóttanum	f l o u h t a n ʏ m
flottast	f l ɔ h t a s t
flottir	f l ɔ h t ɪ r
flottur	f l ɔ h t ʏ r
flottustu	f l ɔ h t ʏ s t ʏ
flötum	f l œ t ʏ m
flóvent	f l o u v ɛ n̥ t
flúðaseli	f l u ð a s ɛ l ɪ
flúði	f l u ð ɪ
flúðu	f l u ð ʏ
flúðum	f l u ð ʏ m
flug	f l ʏ ɣ
flugbraut	f l ʏ ɣ p r ø y t
flugbrautinni	f l ʏ ɣ p r ø y t ɪ n ɪ
flugeld	f l ʏ ɣ ɛ l t
flugeldar	f l ʏ ɣ ɛ l t a r
flugeldarnir	f l ʏ ɣ ɛ l t a r t n ɪ r
flugeldasalan	f l ʏ ɣ ɛ l t a s a l a n
flugeldasýningu	f l ʏ ɣ ɛ l t a s i n i ŋ k ʏ
flugeldum	f l ʏ ɣ ɛ l t ʏ m
flugfar	f l ʏ ɣ f a r
flugfarþega	f l ʏ ɣ v a r θ ɛ ɣ a
flugfélaga	f l ʏ ɣ f j ɛ l a ɣ a
flugfélagið	f l ʏ ɣ f j ɛ l a j ɪ ð
flugfélags	f l ʏ ɣ f j ɛ l a x s
flugfélög	f l ʏ ɣ f j ɛ l œ ɣ
flugfélögum	f l ʏ ɣ f j ɛ l œ ɣ ʏ m
flugferðum	f l ʏ ɣ f ɛ r ð ʏ m
fluggörðum	f l ʏ ɣ k œ r ð ʏ m
flughálka	f l ʏ ɣ h a u l̥ k a
flughálku	f l ʏ ɣ h a u l̥ k ʏ
flughált	f l ʏ ɣ h a u l̥ t
