a	ox
batang	b a t a ng
batangan	b a t a ng a n
batangané	b a t a ng a n e
batanghari	b a t a ng h a r i
batangipun	b a t a ng i p u n
batangé	b a t a ng e
batara	b ox t ox r ox
batari	b a t a r i
batas	b a t a s
batasan	b a t a s a n
batasi	b a t a s i
batatas	b a t a t a s
batavia	b a t a f i ox
batch	b a t kh
bate	b a t ex
bateman	b a t ex m a n
baterai	b a t ex r a i
batere	b a t ex r ex
bateré	b a t ex r e
bates	b a t ex s
batesane	b a t ex s a n ex
batesing	b a t ex s i ng
bath	b a th
bathang	b a th a ng
bathara	b ox th ox r ox
bathari	b a th a r i
bathik	b a th i '
bathiké	b a th i k e
bathil	b a th i l
bathine	b a th i n ex
bathinipun	b a th i n i p u n
bathiné	b a th i n e
bathok	b a th o '
bathuk	b a th u '
bathuke	b a th u k ex
bathuké	b a th u k e
batik	b a t i '
batil	b a t i l
batin	b a t i n
batine	b a t i n ex
batiné	b a t i n e
batis	b a t i s
batista	b a t i s t ox
batistuta	b a t i s t u t ox
batman	b a t m a n
batok	b a t o '
baton	b a t o n
bator	b a t o r
batre	b a t r ex
batré	b a t r e
battaglie	b a t t a g l i ex
battan	b a t t a n
battista	b a t t i s t ox
batu	b a t u
batuan	b a t u a n
batubara	b a t u b ox r ox
batuceper	b a t u c ex p ex r
batuk	b a t u '
batur	b a t u r
baturaden	b a t u r a d ex n
baturadèn	b a t u r a d e n
baturiti	b a t u r i t i
baturraden	b a t u r r a d ex n
baturradèn	b a t u r r a d e n
batutah	b a t u t a h
batutulis	b a t u t u l i s
bau	b a u
baud	b a u d
baudrillard	b a u d r i l l a r d
bauer	b a u ex r
bauksit	b a u k s i t
baumé	b a u m e
baunya	b a u ny ox
baureksa	b a u r ex k s ox
bausastra	b a u s ox s t r ox
baut	b a u t
bautzen	b a u t z ex n
bauwarna	b a u w ox r n ox
bauxite	b a u k s i t ex
bauzi	b a u z i
bavaria	b a f a r i ox
bawa	b ox w ox
bawah	b a w a h
bawahan	b a w a h a n
bawakaraeng	b a w a k a r a ex ng
bawal	b a w a l
bawan	b a w a n
bawana	b ox w ox n ox
bawang	b a w a ng
bawangan	b a w a ng a n
bawané	b a w a n e
bawean	b a w ex a n
bawor	b a w o r
bawur	b a w u r
bawèn	b a w e n
bawéan	b a w e a n
baxo	b a k s o
baxteria	b a k s t ex r i ox
bay	b a y
baya	b ox y ox
bayalali	b a y a l a l i
bayalangu	b a y a l a ng u
bayam	b a y a m
bayamesa	b a y a m ex s ox
bayan	b a y a n
bayangan	b a y a ng a n
bayar	b a y a r
bayaran	b a y a r a n
bayarané	b a y a r a n e
bayare	b a y a r ex
bayati	b a y a t i
bayem	b a y ex m
bayer	b a y ex r
bayern	b a y ex r n
baygon	b a y g o n
bayi	b a y i
bayiné	b a y i n e
bayongbong	b a y o ng b o ng
bayu	b a y u
bayusutu	b a y u s u t u
bayyinat	b a y y i n a t
bazar	b a z a r
bazilevich	b a z i l ex f i kh
baé	b a e
bbagan	b b a g a n
be	b ex
bea	b ex ox
beach	b ex a kh
beady	b ex a d y
beam	b ex a m
bean	b ex a n
bear	b ex a r
beard	b ex a r d
bearer	b ex a r ex r
beas	b ex a s
beasiswa	b ex a s i s w ox
beat	b ex a t
beata	b ex ox t ox
beati	b ex a t i
beatles	b ex a t l ex s
beatrice	b ex a t r i c ex
beatrix	b ex a t r i k s
beatriz	b ex a t r i z
beaufoy	b ex a u f o y
beautiful	b ex a u t i f u l
beauty	b ex a u t y
beauté	b ex a u t e
beauv	b ex a u f
beauvier	b ex a u f i ex r
beauvoir	b ex a u f o i r
beaux	b ex a u k s
bebaarengan	b ex b a a r ex ng a n
bebakan	b ex b a k a n
beban	b ex b a n
bebana	b ex b ox n ox
bebananipun	b ex b a n a n i p u n
bebareng	b ex b a r ex ng
bebarengan	b ex b a r ex ng a n
bebas	b ex b a s
bebasis	b ex b a s i s
bebaya	b ex b ox y ox
bebayan	b ex b a y a n
bebayané	b ex b a y a n e
bebed	b ex b ex d
bebek	b ex b ex '
bebeke	b ex b ex k ex
bebekipun	b ex b ex k i p u n
bebele	b ex b ex l ex
bebendu	b ex b ex n d u
bebengan	b ex b ex ng a n
beber	b ex b ex r
beberangan	b ex b ex r a ng a n
beberapa	b ex b ex r ox p ox
bebi	b ex b i
bebingah	b ex b i ng a h
bebisik	b ex b i s i '
bebojo	b ex b o j o
bebojoan	b ex b o j o a n
bebono	b ex b o n o
bebrangen	b ex b r a ng ex n
bebrayan	b ex b r a y a n
bebrayana	b ex b r ox y ox n ox
bebrayanan	b ex b r a y a n a n
bebrayanané	b ex b r a y a n a n e
bebrayanipun	b ex b r a y a n i p u n
bebrayané	b ex b r a y a n e
bebrayat	b ex b r a y a t
bebudèné	b ex b u d e n e
bebuka	b ex b u k ox
bebungah	b ex b u ng a h
bebungahing	b ex b u ng a h i ng
bebutie	b ex b u t i ex
bebuwang	b ex b u w a ng
bebuyutaning	b ex b u y u t a n i ng
beby	b ex b y
becak	b ex c ox '
becik	b ex c i '
becike	b ex c i k ex
beciké	b ex c i k e
beck	b ex c '
beckenbauer	b ex c k ex n b a u ex r
beckett	b ex c k ex t t
beckham	b ex c kh a m
beckinsale	b ex c k i n s a l ex
becky	b ex c k y
becquerel	b ex c k u ex r ex l
becus	b ex c u s
beda	b ex d ox
bedah	b ex d a h
bedahe	b ex d a h ex
bedahulu	b ex d a h u l u
bedakake	b ex d a k a k ex
bedane	b ex d a n ex
bedanipun	b ex d a n i p u n
bedané	b ex d a n e
beddingfield	b ex d d i ng f i ex l d
bedha	b ex dh ox
bedhah	b ex dh a h
bedhakaken	b ex dh a k a k ex n
bedhaminé	b ex dh a m i n e
bedhamèn	b ex dh a m e n
bedhane	b ex dh a n ex
bedhané	b ex dh a n e
bedhaya	b ex dh ox y ox
bedhes	b ex dh ex s
bedhidhing	b ex dh i dh i ng
bedhil	b ex dh i l
bedhilan	b ex dh i l a n
bedholan	b ex dh o l a n
bedhone	b ex dh o n ex
bedhug	b ex dh u g
bedhuhur	b ex dh u h u r
bedjo	b ex j o
bedo	b ex d o
bedog	b ex d o g
bedone	b ex d o n ex
bedros	b ex d r o s
bedu	b ex d u
bedug	b ex d u g
bedugul	b ex d u g u l
bee	b ex ex
beethoven	b ex ex th o f ex n
befruchtung	b ex f r u kh t u ng
beg	b ex g
begal	b ex g a l
begawan	b ex g a w a n
begayan	b ex g a y a n
begerak	b ex g ex r ox '
begin	b ex g i n
begitu	b ex g i t u
begitulah	b ex g i t u l a h
begitupun	b ex g i t u p u n
begja	b ex g j ox
begjanipun	b ex g j a n i p u n
begum	b ex g u m
beha	b ex h ox
behavior	b ex h a f i o r
behgjet	b ex h g j ex t
behoa	b ex h o ox
bei	b ex i
beijing	b ex i j i ng
being	b ex i ng
beirut	b ex i r u t
beitchman	b ex i t kh m a n
beiteinu	b ex i t ex i n u
beja	b ex j ox
bejane	b ex j a n ex
bejeu	b ex j ex u
bek	b ex '
bekah	b ex k a h
bekannt	b ex k a n n t
bekantan	b ex k a n t a n
bekas	b ex k a s
bekasam	b ex k a s a m
bekasi	b ex k a s i
bekasilambang	b ex k a s i l a m b a ng
bekasimotto	b ex k a s i m o t t o
bekerja	b ex k ex r j ox
bekhudi	b ex kh u d i
bekicot	b ex k i c o t
bekih	b ex k i h
bekisar	b ex k i s a r
beksa	b ex k s ox
beksan	b ex k s a n
bekta	b ex k t ox
bekti	b ex k t i
beku	b ex k u
bel	b ex l
bela	b ex l ox
belacan	b ex l a c a n
belafonte	b ex l a f o n t ex
belah	b ex l a h
belahan	b ex l a h a n
belait	b ex l a i t
belajar	b ex l a j a r
belakang	b ex l a k a ng
belalang	b ex l a l a ng
belanda	b ex l ox n d ox
belandha	b ex l ox n dh ox
belang	b ex l a ng
belange	b ex l a ng ex
belanja	b ex l ox ny ox
belanjane	b ex l a ny a n ex
belapati	b ex l a p a t i
belarbe	b ex l a r b ex
belarus	b ex l a r u s
belarusy	b ex l a r u sy
belas	b ex l a s
belasan	b ex l a s a n
bele	b ex l ex
beledweyne	b ex l ex d w ex y n ex
belenggu	b ex l ex ng g u
belerang	b ex l ex r a ng
belfast	b ex l f a s t
belgia	b ex l g i ox
belgian	b ex l g i a n
belgorod	b ex l g o r o d
belian	b ex l i a n
beliau	b ex l i a u
belik	b ex l i '
beling	b ex l i ng
belisarius	b ex l i s a r i u s
belitung	b ex l i t u ng
belize	b ex l i z ex
bell	b ex l l
bella	b ex l l ox
belle	b ex l l ex
belli	b ex l l i
bellina	b ex l l i n ox
bellona	b ex l l o n ox
bellow	b ex l l o w
belmopan	b ex l m o p a n
belo	b ex l o
belok	b ex l o '
beloved	b ex l o f ex d
belsyazar	b ex l sy a z a r
beluk	b ex l u '
belukar	b ex l u k a r
belum	b ex l u m
beluntas	b ex l u n t a s
belustru	b ex l u s t r u
belut	b ex l u t
bemmelen	b ex m m ex l ex n
bemo	b ex m o
ben	b ex n
benacerraf	b ex n a c ex r r a f
benai	b ex n a i
benang	b ex n a ng
benangsari	b ex n a ng s a r i
benangé	b ex n a ng e
benar	b ex n a r
benarengan	b ex n a r ex ng a n
benarkah	b ex n a r k a h
benawa	b ex n ox w ox
bencana	b ex n c ox n ox
benci	b ex n c i
bencong	b ex n c o ng
bend	b ex n d
benda	b ex n d ox
bendahara	b ex n d ox h ox r ox
bendan	b ex n d a n
bendana	b ex n d ox n ox
bendarane	b ex n d a r a n ex
bendarané	b ex n d a r a n e
bendera	b ex n d ex r ox
bendha	b ex n dh ox
bendhe	b ex n dh ex
bendho	b ex n dh o
bendhungan	b ex n dh u ng a n
bendhé	b ex n dh e
bendi	b ex n d i
bendich	b ex n d i kh
bendogerit	b ex n d o g ex r i t
bendorejo	b ex n d o r ex j o
bendot	b ex n d o t
bendungan	b ex n d u ng a n
bene	b ex n ex
benedetto	b ex n ex d ex t t o
benediction	b ex n ex d i c t i o n
benediktin	b ex n ex d i k t i n
benediktus	b ex n ex d i k t u s
benefit	b ex n ex f i t
benelux	b ex n ex l u k s
bener	b ex n ex r
beneran	b ex n ex r a n
benerrr	b ex n ex r r r
bengak	b ex ng ox '
bengalensis	b ex ng a l ex n s i s
bengali	b ex ng a l i
bengaluru	b ex ng a l u r u
bengawan	b ex ng a w a n
bengawané	b ex ng a w a n e
benges	b ex ng ex s
benggala	b ex ng g ox l ox
benghazi	b ex ng h a z i
bengi	b ex ng i
bengkalis	b ex ng k a l i s
bengkel	b ex ng k ex l
bengkoang	b ex ng k o a ng
bengkok	b ex ng k o '
bengkong	b ex ng k o ng
bengkulu	b ex ng k u l u
benglé	b ex ng l e
bengok	b ex ng o '
benhyu	b ex n h y u
beni	b ex n i
beniamino	b ex n i a m i n o
benigno	b ex n i g n o
benih	b ex n i h
benik	b ex n i '
benin	b ex n i n
bening	b ex n i ng
benito	b ex n i t o
benjamin	b ex ny a m i n
benjamins	b ex ny a m i n s
benjing	b ex ny i ng
benjuté	b ex ny u t e
bennelong	b ex n n ex l o ng
bennett	b ex n n ex t t
bennington	b ex n n i ng t o n
benny	b ex n ny
bennylin	b ex n ny l i n
beno	b ex n o
benoa	b ex n o ox
benouis	b ex n o u i s
bensheim	b ex n sy ex i m
bensin	b ex n s i n
bensky	b ex n s k y
benson	b ex n s o n
bentang	b ex n t a ng
bentara	b ex n t ox r ox
benten	b ex n t ex n
bentenaken	b ex n t ex n a k ex n
benteng	b ex n t ex ng
bentenipun	b ex n t ex n i p u n
benter	b ex n t ex r
benth	b ex n th
bentham	b ex n th a m
benthik	b ex n th i '
benthèt	b ex n th e t
bentik	b ex n t i '
bentoel	b ex n t u l
bentolo	b ex n t o l o
bentrokan	b ex n t r o k a n
bentu	b ex n t u
bentuk	b ex n t u '
bentukan	b ex n t u k a n
bentukane	b ex n t u k a n ex
bentuke	b ex n t u k ex
bentuki	b ex n t u k i
bentuking	b ex n t u k i ng
bentukipun	b ex n t u k i p u n
bentukke	b ex n t u k k ex
bentukké	b ex n t u k k e
bentuknya	b ex n t u k ny ox
bentukè	b ex n t u k e
bentuké	b ex n t u k e
bentulan	b ex n t u l a n
bentèn	b ex n t e n
bentèr	b ex n t e r
bentér	b ex n t e r
benua	b ex n u ox
benuaq	b ex n u a k
benue	b ex n u ex
benvenuto	b ex n f ex n u t o
benyamin	b ex ny a m i n
benz	b ex n z
benzema	b ex n z ex m ox
benzena	b ex n z ex n ox
benzene	b ex n z ex n ex
beo	b ex o
beobgochum	b ex o b g o kh u m
beoga	b ex o g ox
beograd	b ex o g r a d
beompae	b ex o m p a ex
beopgochum	b ex o p g o kh u m
beoseon	b ex o s ex o n
bera	b ex r ox
beracun	b ex r a c u n
berada	b ex r ox d ox
beradaptasi	b ex r a d a p t a s i
berafiliasi	b ex r a f i l i a s i
beragama	b ex r ox g ox m ox
berakhir	b ex r a kh i r
berakseptabilitas	b ex r a k s ex p t a b i l i t a s
berakting	b ex r a k t i ng
beraktivitas	b ex r a k t i f i t a s
beraliran	b ex r a l i r a n
beralkohol	b ex r a l k o h o l
berambut	b ex r a m b u t
beramuk	b ex r a m u '
beranak	b ex r ox n ox '
beranata	b ex r ox n ox t ox
berangan	b ex r a ng a n
berangkatlah	b ex r a ng k a t l a h
berantai	b ex r a n t a i
berantakan	b ex r a n t a k a n
berapa	b ex r ox p ox
berapi	b ex r a p i
berarti	b ex r a r t i
beras	b ex r a s
berasal	b ex r a s a l
berase	b ex r a s ex
berasé	b ex r a s e
berat	b ex r a t
beratageng	b ex r a t a g ex ng
berate	b ex r a t ex
berau	b ex r a u
berbagai	b ex r b a g a i
berbagi	b ex r b a g i
berbah	b ex r b a h
berbakat	b ex r b a k a t
berbalik	b ex r b a l i '
berbanding	b ex r b a n d i ng
berbasa	b ex r b ox s ox
berbasis	b ex r b a s i s
berbatasan	b ex r b a t a s a n
berbatesan	b ex r b a t ex s a n
berbau	b ex r b a u
berbeda	b ex r b ex d ox
berbelah	b ex r b ex l a h
berberina	b ex r b ex r i n ox
berbiak	b ex r b i ox '
berbiaya	b ex r b i ox y ox
berbicara	b ex r b i c ox r ox
berbintang	b ex r b i n t a ng
berbintik	b ex r b i n t i '
berbisik	b ex r b i s i '
berbuat	b ex r b u a t
berbukit	b ex r b u k i t
berbunga	b ex r b u ng ox
berbunyi	b ex r b u ny i
berburu	b ex r b u r u
bercabang	b ex r c a b a ng
bercak	b ex r c ox '
bercaké	b ex r c a k e
bercampur	b ex r c a m p u r
bercantholan	b ex r c a n th o l a n
bercetak	b ex r c ex t ox '
bercocok	b ex r c o c o '
berdarah	b ex r d a r a h
berdasarkan	b ex r d a s a r k a n
berdaun	b ex r d a u n
berdjandji	b ex r j a n j i
berdua	b ex r d u ox
berduri	b ex r d u r i
berdyaev	b ex r d y a ex f
berea	b ex r ex ox
berekombinasi	b ex r ex k o m b i n a s i
berembe	b ex r ex m b ex
berencana	b ex r ex n c ox n ox
berenda	b ex r ex n d ox
berenguer	b ex r ex ng u ex r
bereshit	b ex r ex sy i t
berfikir	b ex r f i k i r
berfungsi	b ex r f u ng s i
berg	b ex r g
bergabung	b ex r g a b u ng
bergamo	b ex r g a m o
bergantung	b ex r g a n t u ng
bergaul	b ex r g a u l
berge	b ex r g ex
bergedèl	b ex r g ex d e l
bergelar	b ex r g ex l a r
bergengsi	b ex r g ex ng s i
berger	b ex r g ex r
bergerak	b ex r g ex r ox '
bergigi	b ex r g i g i
bergiliran	b ex r g i l i r a n
bergizi	b ex r g i z i
berguna	b ex r g u n ox
berhadiah	b ex r h a d i a h
berhak	b ex r h ox '
berhala	b ex r h ox l ox
berhaluan	b ex r h a l u a n
berharap	b ex r h a r a p
berhasil	b ex r h a s i l
berhembus	b ex r h ex m b u s
beri	b ex r i
beric	b ex r i c
berichten	b ex r i kh t ex n
berikut	b ex r i k u t
berikutne	b ex r i k u t n ex
berikutnya	b ex r i k u t ny ox
beriman	b ex r i m a n
bering	b ex r i ng
beringharjo	b ex r i ng h a r j o
beringin	b ex r i ng i n
beringinharjo	b ex r i ng i n h a r j o
berisi	b ex r i s i
berita	b ex r i t ox
beritané	b ex r i t a n e
berjalan	b ex r j a l a n
berjalannya	b ex r j ox l ox n ny ox
berjam	b ex r j a m
berjama	b ex r j ox m ox
berjanji	b ex r j a ny i
berjas	b ex r j a s
berjasa	b ex r j ox s ox
berjiwa	b ex r j i w ox
berjuang	b ex r j u a ng
berjudul	b ex r j u d u l
berkabar	b ex r k a b a r
berkabung	b ex r k a b u ng
berkah	b ex r k a h
berkain	b ex r k a i n
berkaitan	b ex r k a i t a n
berkala	b ex r k ox l ox
berkalang	b ex r k a l a ng
berkarir	b ex r k a r i r
berkas	b ex r k a s
berkat	b ex r k a t
berkebangsaan	b ex r k ex b a ng s a a n
berkecimpung	b ex r k ex c i m p u ng
berkedip	b ex r k ex d i p
berkedudukan	b ex r k ex d u d u k a n
berkelamin	b ex r k ex l a m i n
berkelanjutan	b ex r k ex l a ny u t a n
berkeley	b ex r k ex l ex y
berkelium	b ex r k ex l i u m
berkembang	b ex r k ex m b a ng
berkembangbiak	b ex r k ex m b a ng b i ox '
berkeping	b ex r k ex p i ng
berkerja	b ex r k ex r j ox
berkerudung	b ex r k ex r u d u ng
berkesan	b ex r k ex s a n
berkicau	b ex r k i c a u
berkilau	b ex r k i l a u
berkisar	b ex r k i s a r
berkolaborasi	b ex r k o l a b o r a s i
berkomentar	b ex r k o m ex n t a r
berkomposisi	b ex r k o m p o s i s i
berkotil	b ex r k o t i l
berkreatifitas	b ex r k r ex a t i f i t a s
berkualitas	b ex r k u a l i t a s
berkultur	b ex r k u l t u r
berkurang	b ex r k u r a ng
berkutat	b ex r k u t a t
berlagak	b ex r l ox g ox '
berlainan	b ex r l a i n a n
berlaku	b ex r l a k u
berlampu	b ex r l a m p u
berlangganan	b ex r l a ng g a n a n
berlangganané	b ex r l a ng g a n a n e
berlangsung	b ex r l a ng s u ng
berlawanan	b ex r l a w a n a n
berlayar	b ex r l a y a r
berlebihane	b ex r l ex b i h a n ex
berlekuk	b ex r l ex k u '
berlembah	b ex r l ex m b a h
berlian	b ex r l i a n
berliana	b ex r l i ox n ox
berlin	b ex r l i n
berliner	b ex r l i n ex r
berlioz	b ex r l i o z
berlogo	b ex r l o g o
berloro	b ex r l o r o
bermahkota	b ex r m a h k o t ox
bermain	b ex r m a i n
bermarkas	b ex r m a r k a s
bermuara	b ex r m u ox r ox
bermuda	b ex r m u d ox
bermulut	b ex r m u l u t
bermusik	b ex r m u s i '
bermusiké	b ex r m u s i k e
bermutu	b ex r m u t u
bern	b ex r n
bernabeu	b ex r n a b ex u
bernal	b ex r n a l
bernama	b ex r n ox m ox
bernard	b ex r n a r d
bernardo	b ex r n a r d o
bernet	b ex r n ex t
bernevald	b ex r n ex f a l d
bernhard	b ex r n h a r d
berniat	b ex r n i a t
bernice	b ex r n i c ex
bernieriana	b ex r n i ex r i ox n ox
bernini	b ex r n i n i
bernoulli	b ex r n o u l l i
bernson	b ex r n s o n
bernstadt	b ex r n s t a d t
bernstein	b ex r n s t ex i n
bernuansa	b ex r n u ox n s ox
bernyanyi	b ex r ny a ny i
berobat	b ex r o b a t
berokan	b ex r o k a n
beroperasi	b ex r o p ex r a s i
berpakaian	b ex r p a k a i a n
berpandu	b ex r p a n d u
berpasangan	b ex r p a s a ng a n
berpegang	b ex r p ex g a ng
berpembuluh	b ex r p ex m b u l u h
berpendapat	b ex r p ex n d a p a t
berpendidikan	b ex r p ex n d i d i k a n
berpengaruh	b ex r p ex ng a r u h
berpengetahuan	b ex r p ex ng ex t a h u a n
berperan	b ex r p ex r a n
berpindah	b ex r p i n d a h
berpola	b ex r p o l ox
berposisi	b ex r p o s i s i
berprestasi	b ex r p r ex s t a s i
berprofesi	b ex r p r o f ex s i
berprospèk	b ex r p r o s p e '
berro	b ex r r o
berry	b ex r r y
bersahaja	b ex r s ox h ox j ox
bersaing	b ex r s a i ng
bersajak	b ex r s ox j ox '
bersaksi	b ex r s a k s i
bersale	b ex r s a l ex
bersama	b ex r s ox m ox
bersamaan	b ex r s a m a a n
bersambung	b ex r s a m b u ng
bersangkutan	b ex r s a ng k u t a n
bersarang	b ex r s a r a ng
bersatoe	b ex r s a t u
bersatu	b ex r s a t u
bersatulah	b ex r s a t u l a h
bersaudara	b ex r s a u d ox r ox
bersayap	b ex r s a y a p
bersejarah	b ex r s ex j a r a h
bersekutu	b ex r s ex k u t u
berseni	b ex r s ex n i
bersenjata	b ex r s ex ny ox t ox
berseri	b ex r s ex r i
berseroe	b ex r s ex r u
berseru	b ex r s ex r u
bershka	b ex r sy k ox
bersiap	b ex r s i a p
bersifat	b ex r s i f a t
bersih	b ex r s i h
bersila	b ex r s i l ox
bersilia	b ex r s i l i ox
bersilium	b ex r s i l i u m
bersinar	b ex r s i n a r
bersing	b ex r s i ng
bersinggungan	b ex r s i ng g u ng a n
bersiwak	b ex r s i w ox '
berskala	b ex r s k ox l ox
berspesialisasi	b ex r s p ex s i a l i s a s i
berstrategi	b ex r s t r a t ex g i
berstruktur	b ex r s t r u k t u r
bersujud	b ex r s u j u d
bersusun	b ex r s u s u n
bertahan	b ex r t a h a n
bertahap	b ex r t a h a p
bertahta	b ex r t ox h t ox
bertajuk	b ex r t a j u '
bertalenta	b ex r t a l ex n t ox
bertambah	b ex r t a m b a h
bertanggungjawab	b ex r t a ng g u ng j a w a b
bertani	b ex r t a n i
bertanya	b ex r t ox ny ox
bertapa	b ex r t ox p ox
bertarung	b ex r t a r u ng
bertebral	b ex r t ex b r a l
bertelur	b ex r t ex l u r
bertengkar	b ex r t ex ng k a r
bertha	b ex r th ox
bertie	b ex r t i ex
bertindak	b ex r t i n d ox '
bertinggi	b ex r t i ng g i
bertopik	b ex r t o p i '
bertram	b ex r t r a m
bertrand	b ex r t r a n d
bertugas	b ex r t u g a s
bertunangan	b ex r t u n a ng a n
bertutur	b ex r t u t u r
beruang	b ex r u a ng
berubah	b ex r u b a h
berukuran	b ex r u k u r a n
berulah	b ex r u l a h
berulang	b ex r u l a ng
berulangnya	b ex r u l ox ng ny ox
berunding	b ex r u n d i ng
beruntung	b ex r u n t u ng
berupa	b ex r u p ox
berusaha	b ex r u s ox h ox
berusia	b ex r u s i ox
bervariasi	b ex r f a r i a s i
berwajib	b ex r w a j i b
berwarga	b ex r w ox r g ox
berwarna	b ex r w ox r n ox
berwenang	b ex r w ex n a ng
berwibawa	b ex r w i b ox w ox
berzelius	b ex r z ex l i u s
bes	b ex s
besalen	b ex s a l ex n
besanan	b ex s a n a n
besar	b ex s a r
besaran	b ex s a r a n
besari	b ex s a r i
besek	b ex s ex '
besep	b ex s ex p
besi	b ex s i
besil	b ex s i l
besiyar	b ex s i y a r
beskalan	b ex s k a l a n
beskap	b ex s k a p
beskida	b ex s k i d ox
beslan	b ex s l a n
besok	b ex s o '
besson	b ex s s o n
best	b ex s t
besuk	b ex s u '
besuki	b ex s u k i
besukipun	b ex s u k i p u n
besut	b ex s u t
beta	b ex t ox
betah	b ex t a h
betahaken	b ex t a h a k ex n
betalain	b ex t a l a i n
betanidin	b ex t a n i d i n
betapa	b ex t ox p ox
betawi	b ex t a w i
beteng	b ex t ex ng
bethani	b ex th a n i
betharia	b ex th a r i ox
bethel	b ex th ex l
betina	b ex t i n ox
betiri	b ex t i r i
betis	b ex t i s
betle	b ex t l ex
beto	b ex t o
betoel	b ex t u l
betok	b ex t o '
beton	b ex t o n
betrand	b ex t r a n d
betsaida	b ex t s a i d ox
betsy	b ex t sy
betta	b ex t t ox
bette	b ex t t ex
betty	b ex t t y
betuah	b ex t u a h
betulia	b ex t u l i ox
betung	b ex t u ng
betutu	b ex t u t u
between	b ex t w ex ex n
beukering	b ex u k ex r i ng
beunteur	b ex u n t ex u r
beura	b ex u r ox
beureum	b ex u r ex u m
beuvron	b ex u f r o n
bevan	b ex f a n
beverly	b ex f ex r l y
bewerkt	b ex w ex r k t
beyanipun	b ex y a n i p u n
beyer	b ex y ex r
beyonce	b ex y o n c ex
bezita	b ex z i t ox
bezittingen	b ex z i t t i ng ex n
bhadgaon	b h a d g a o n
bhadrawada	b h ox d r ox w ox d ox
bhagarwa	b h ox g ox r w ox
bhagawadgita	b h a g a w a d g i t ox
bhagawatapurana	b h a g a w a t a p u r ox n ox
bhairawa	b h a i r ox w ox
bhakti	b h a k t i
bhanji	b h a ny i
bhanu	b h a n u
bharat	b h a r a t
bharata	b h ox r ox t ox
bharatawarsha	b h ox r ox t ox w ox r sy ox
bharatayuda	b h a r a t a y u d ox
bharatayuddha	b h a r a t a y u d dh ox
bharatayudha	b h a r a t a y u dh ox
bhargawa	b h ox r g ox w ox
